"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"KINGFISHER";"GB0033195214";"KGFl";"NYSE Arca Europe";"GBP";"272.10";"275.10";"272.10";"275.10";"05/09/2012 15:51";"CET";"6852";"4844857.20"
"KINGSPAN GROUP PLC";"IE0004927939";"KRXi";"NYSE Arca Europe";"EUR";"6.66";"6.66";"6.66";"6.66";"18/06/2012 15:33";"CET";"360";"2397.60"
"KINNEVIK INVEST. B";"SE0000164626";"KINVBs";"NYSE Arca Europe";"SEK";"139.60";"139.60";"139.60";"139.60";"15/08/2012 09:14";"CET";"349";"48720.40"
"KIT DIGITAL";"US4824702009";"KITDk";"NYSE Arca Europe";"CZK";"-";"-";"-";"-";"-";"-";"-";"-"
"KLEMURS";"FR0010404780";"KMU";"NYSE Euronext Paris";"EUR";"15.59";"15.59";"15.45";"15.45";"07/09/2012 17:35";"CET";"2748";"42561.59"
"KLEPIERRE";"FR0000121964";"LI";"NYSE Euronext Paris";"EUR";"26.60";"27.18";"26.595";"26.99";"07/09/2012 17:35";"CET";"281409";"5672669.08"
"KLOECKNER & CO";"DE000KC01000";"KCOd";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"KNIGHT CAPITAL GRP";"US4990051066";"KCG";"NYSE Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"KOFAX";"GB00B0L2K157";"KFXl";"NYSE Arca Europe";"GBP";"251.80";"251.80";"251.80";"251.80";"16/05/2012 12:31";"CET";"134";"33741.20"
"KOMERCNI BANKA";"CZ0008019106";"KOMBk";"NYSE Arca Europe";"CZK";"-";"-";"-";"-";"-";"-";"-";"-"
"KONE B";"FI0009013403";"KNEBVh";"NYSE Arca Europe";"EUR";"50.95";"50.95";"50.90";"50.95";"07/09/2012 17:09";"CET";"1709";"346898.55"
"KONECRANES";"FI0009005870";"KCR1Vh";"NYSE Arca Europe";"EUR";"20.85";"20.85";"20.85";"20.85";"01/08/2012 14:47";"CET";"94";"1959.90"
"KORIAN";"FR0010386334";"KORI";"NYSE Euronext Paris";"EUR";"12.00";"12.14";"11.80";"12.09";"07/09/2012 17:35";"CET";"9563";"114335.27"
"KORTRIJK SHOP.CERT";"BE0003608198";"KOR";"NYSE Euronext Brussels";"EUR";"404.50";"404.50";"404.50";"404.50";"07/09/2012 15:00";"CET";"10";"4045.00"
"KPN KON";"NL0000009082";"KPN";"NYSE Euronext Amsterdam";"EUR";"6.709";"6.772";"6.64";"6.738";"07/09/2012 17:35";"CET";"5690459";"38181264.143"
"KRAFT FOODS A";"US50075N1046";"KFTn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"KRIEF GROUP";"FR0004152700";"MLKRI";"Marché Libre Paris";"EUR";"6.49";"6.49";"6.49";"6.49";"06/09/2012 15:00";"CET";"1";"6.49"
"KRONES";"DE0006335003";"KRNd";"NYSE Arca Europe";"EUR";"36.30";"36.30";"35.935";"35.95";"14/12/2011 12:13";"CET";"371";"-"
"KUEHNE & NAGEL";"CH0025238863";"KNINz";"NYSE Arca Europe";"CHF";"109.50";"110.00";"109.50";"110.00";"07/09/2012 16:32";"CET";"1911";"450340.40"
"KUKA";"DE0006204407";"KU2d";"NYSE Arca Europe";"EUR";"14.355";"14.355";"14.355";"14.355";"28/10/2011 14:40";"CET";"2";"-"
"KUNGSLEDEN";"SE0000549412";"KLEDs";"NYSE Arca Europe";"SEK";"53.25";"53.25";"53.25";"53.25";"02/09/2011 09:23";"CET";"216";"-"
"L'OREAL";"FR0000120321";"OR";"NYSE Euronext Paris";"EUR";"101.15";"101.15";"97.57";"98.11";"07/09/2012 17:37";"CET";"1292513";"127938417.79"
"LA FONCIERE VERTE";"FR0000039638";"LFVE";"NYSE Euronext Paris";"EUR";"78.47";"78.47";"78.47";"78.47";"11/04/2011 16:30";"CET";"3";"-"
"LA PERLA WORLD";"FR0000064917";"PERW";"NYSE Euronext Paris";"EUR";"0.05";"0.05";"0.05";"0.05";"11/08/2011 10:42";"CET";"178700";"-"
"LACIE S.A.";"FR0000054314";"LAC";"NYSE Euronext Paris";"EUR";"4.49";"4.50";"4.49";"4.49";"07/09/2012 17:11";"CET";"13539";"60798.62"
"LACROIX SA";"FR0000066607";"LACR";"NYSE Euronext Paris";"EUR";"11.13";"11.13";"11.12";"11.12";"07/09/2012 17:35";"CET";"821";"9130.12"
"LADBROKES";"GB00B0ZSH635";"LADl";"NYSE Arca Europe";"GBP";"177.80";"177.80";"177.80";"177.80";"07/09/2012 17:10";"CET";"651";"115747.80"
"LAFARGE";"FR0000120537";"LG";"NYSE Euronext Paris";"EUR";"39.72";"40.79";"39.68";"40.35";"07/09/2012 17:35";"CET";"1410832";"56239696.015"
"LAFUMA";"FR0000035263";"LAF";"NYSE Euronext Paris";"EUR";"17.20";"17.25";"17.00";"17.25";"07/09/2012 17:35";"CET";"1416";"24272.30"
"LAGARDERE ACT.BRO.";"MC0000120790";"LAGB";"NYSE Euronext Paris";"EUR";"259.00";"259.00";"259.00";"259.00";"07/09/2012 16:30";"CET";"20";"5180.00"
"LAGARDERE S.C.A.";"FR0000130213";"MMB";"NYSE Euronext Paris";"EUR";"22.235";"22.485";"22.115";"22.245";"07/09/2012 17:35";"CET";"296387";"6601768.705"
"LAIRD";"GB00B1VNST91";"LRDl";"NYSE Arca Europe";"GBP";"189.40";"189.40";"189.40";"189.40";"24/07/2012 15:52";"CET";"500";"94700.00"
"LAMPRELL";"GB00B1CL5249";"LAMl";"NYSE Arca Europe";"GBP";"81.35";"81.35";"81.35";"81.35";"07/08/2012 17:28";"CET";"6874";"720435.60"
"LANCASHIRE HOLDING";"BMG5361W1047";"LREl";"NYSE Arca Europe";"GBP";"795.00";"795.00";"792.50";"792.50";"01/08/2012 14:51";"CET";"383";"303610.00"
"LAND SEC GRP REIT";"GB0031809436";"LANDl";"NYSE Arca Europe";"GBP";"802.00";"804.00";"802.00";"804.00";"07/09/2012 17:09";"CET";"1697";"1414560.00"
"LANDI RENZO";"IT0004210289";"LRm";"NYSE Arca Europe";"EUR";"2.105";"2.115";"2.105";"2.115";"13/07/2011 13:35";"CET";"6456";"-"
"LANSON-BCC";"FR0004027068";"LAN";"NYSE Euronext Paris";"EUR";"39.00";"39.49";"39.00";"39.49";"07/09/2012 15:32";"CET";"79";"3085.90"
"LANXESS";"DE0005470405";"LXSd";"NYSE Arca Europe";"EUR";"58.38";"62.10";"58.38";"61.75";"06/09/2012 17:23";"CET";"420";"77231.31"
"LATONIA INVEST.";"PA5183021045";"LATO";"NYSE Euronext Paris";"EUR";"35.50";"35.50";"35.50";"35.50";"26/09/2005 00:00";"CET";"100";"-"
"LAURENT-PERRIER";"FR0006864484";"LPE";"NYSE Euronext Paris";"EUR";"72.29";"72.30";"71.90";"71.90";"07/09/2012 16:10";"CET";"103";"7426.29"
"LAW DEBENTURE CORP";"GB0031429219";"LWDBl";"NYSE Arca Europe";"GBP";"383.80";"384.10";"383.80";"384.10";"11/07/2012 10:48";"CET";"1500";"575940.00"
"LBI INTERNATIONAL";"NL0009508720";"LBI";"NYSE Euronext Amsterdam";"EUR";"2.821";"2.849";"2.81";"2.84";"07/09/2012 17:35";"CET";"958218";"2714466.36"
"LDC";"FR0000053829";"LOUP";"NYSE Euronext Paris";"EUR";"83.44";"83.45";"83.44";"83.45";"07/09/2012 17:20";"CET";"21";"1752.44"
"LDLC.COM";"FR0000075442";"LDL";"NYSE Euronext Paris";"EUR";"6.25";"6.25";"6.20";"6.20";"07/09/2012 16:23";"CET";"557";"3472.55"
"LE NOBLE AGE";"FR0004170017";"LNA";"NYSE Euronext Paris";"EUR";"11.90";"11.97";"11.90";"11.97";"07/09/2012 17:06";"CET";"1604";"19132.14"
"LE TANNEUR";"FR0000075673";"LTAN";"NYSE Euronext Paris";"EUR";"7.00";"7.00";"7.00";"7.00";"07/09/2012 15:34";"CET";"340";"2380.00"
"LEADERLEASE";"FR0010921163";"MLLEA";"Marché Libre Paris";"EUR";"3.20";"3.20";"3.20";"3.20";"03/02/2012 15:00";"CET";"3";"9.60"
"LEADMEDIA";"FR0011053636";"ALLMG";"NYSE Alternext Paris";"EUR";"5.62";"5.70";"5.62";"5.70";"07/09/2012 17:35";"CET";"1363";"7665.90"
"LEASINVEST-SICAFI";"BE0003770840";"LEAS";"NYSE Euronext Brussels";"EUR";"67.49";"67.69";"66.70";"67.40";"07/09/2012 17:35";"CET";"481";"32444.65"
"LEBON";"FR0000121295";"LBON";"NYSE Euronext Paris";"EUR";"95.50";"95.78";"95.50";"95.78";"07/09/2012 16:30";"CET";"305";"29168.38"
"LECTEURS MONDE";"FR0000034779";"MLLEM";"Marché Libre Paris";"EUR";"1.10";"1.10";"1.10";"1.10";"06/09/2012 15:00";"CET";"1199";"1318.90"
"LECTRA";"FR0000065484";"LSS";"NYSE Euronext Paris";"EUR";"4.63";"4.63";"4.61";"4.63";"07/09/2012 17:35";"CET";"1266";"5845.13"
"LEGAL&GENERAL GRP";"GB0005603997";"LGENl";"NYSE Arca Europe";"GBP";"133.30";"133.30";"133.30";"133.30";"07/09/2012 09:23";"CET";"560";"74648.00"
"LEGRAND";"FR0010307819";"LR";"NYSE Euronext Paris";"EUR";"28.55";"28.99";"28.49";"28.86";"07/09/2012 17:35";"CET";"794470";"22904733.09"
"LEGUIDE.COM";"FR0010146092";"ALGUI";"NYSE Alternext Paris";"EUR";"28.00";"28.19";"28.00";"28.00";"07/09/2012 16:35";"CET";"88476";"2477348.90"
"LENZING";"AT0000644505";"LNZv";"NYSE Arca Europe";"EUR";"71.71";"71.71";"71.71";"71.71";"18/07/2012 17:19";"CET";"20";"1434.20"
"LEO CAPITAL GROWTH";"IE00B5WK6265";"LEOA";"NYSE Euronext Amsterdam";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"LEON GAS";"GRS466003019";"MLGAS";"Marché Libre Paris";"EUR";"0.40";"0.40";"0.40";"0.40";"27/06/2012 15:00";"CET";"1";"0.40"
"LEON GROSSE";"FR0005717626";"MLLEO";"Marché Libre Paris";"EUR";"1123.00";"1123.00";"1123.00";"1123.00";"06/09/2012 15:00";"CET";"1";"1123.00"
"LEONI";"DE0005408884";"LEOd";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"LES HOTELS BAVEREZ";"FR0007080254";"ALLHB";"NYSE Alternext Paris";"EUR";"32.03";"32.03";"32.03";"32.03";"07/09/2012 15:30";"CET";"78";"2498.34"
"LESNXCONSTRUCTEURS";"FR0004023208";"LNC";"NYSE Euronext Paris";"EUR";"5.94";"6.08";"5.94";"6.05";"07/09/2012 17:13";"CET";"1840";"11068.70"
"LETS GOWEX";"ES0158252017";"ALGOW";"NYSE Alternext Paris";"EUR";"7.35";"7.35";"7.00";"7.17";"07/09/2012 17:35";"CET";"59848";"430133.08"
"LEXIBOOK LINGUIST.";"FR0000033599";"LEX";"NYSE Euronext Paris";"EUR";"3.04";"3.05";"2.96";"3.05";"07/09/2012 14:34";"CET";"8825";"26697.55"
"LIBERTY INTL REIT";"GB0006834344";"LIIl";"NYSE Arca Europe";"GBP";"324.90";"324.90";"322.30";"322.30";"31/07/2012 16:35";"CET";"450";"226910.00"
"LINDE";"DE0006483001";"LINd";"NYSE Arca Europe";"EUR";"129.75";"130.00";"128.50";"129.80";"07/09/2012 17:27";"CET";"2884";"722780.60"
"LINDT & SPRUENGLI";"CH0010570759";"LISNz";"NYSE Arca Europe";"CHF";"-";"-";"-";"-";"-";"-";"-";"-"
"LINDT & SPRUENGLI";"CH0010570767";"LISPz";"NYSE Arca Europe";"CHF";"3006.00";"3006.00";"3006.00";"3006.00";"21/08/2012 17:07";"CET";"10";"30060.00"
"LINEDATA SERVICES";"FR0004156297";"LIN";"NYSE Euronext Paris";"EUR";"13.07";"13.09";"13.03";"13.03";"07/09/2012 16:27";"CET";"2050";"26759.44"
"LIONAX";"HK0000038429";"MLION";"Marché Libre Paris";"EUR";"0.06";"0.06";"0.06";"0.06";"05/09/2012 15:00";"CET";"1000";"60.00"
"LISGRAFICA";"PTLIG0AE0002";"LIG";"NYSE Euronext Lisbon";"EUR";"0.02";"0.02";"0.02";"0.02";"07/09/2012 21:30";"BST";"10";"0.20"
"LISI";"FR0000050353";"FII";"NYSE Euronext Paris";"EUR";"53.18";"53.28";"53.01";"53.28";"07/09/2012 17:35";"CET";"1942";"103343.94"
"LITHO FORMAS";"PTLIT0AE0005";"LIT";"Easynext Lisbon";"EUR";"0.61";"0.61";"0.61";"0.61";"10/08/2012 21:30";"BST";"50";"30.50"
"LLOYDS BANKING GRP";"GB0008706128";"LLOYl";"NYSE Arca Europe";"GBP";"33.155";"33.91";"32.985";"33.91";"05/09/2012 16:43";"CET";"59741";"7777318.84"
"LOCASOLOG";"FR0004109668";"MLLCS";"Marché Libre Paris";"EUR";"4.05";"4.05";"4.05";"4.05";"28/11/2002 06:00";"CET";"1";"-"
"LOCASYSTEM INTL";"FR0004155208";"MLLOI";"Marché Libre Paris";"EUR";"5.52";"5.52";"5.52";"5.52";"10/04/2012 15:00";"CET";"526";"2903.52"
"LOCINDUS";"FR0000121352";"LD";"NYSE Euronext Paris";"EUR";"11.45";"11.45";"11.16";"11.16";"07/09/2012 16:22";"CET";"580";"6531.27"
"LOCKHEED MARTIN";"US5398301094";"LMTn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"LOGIC INSTRUMENT";"FR0000044943";"ALLOG";"NYSE Alternext Paris";"EUR";"1.89";"1.89";"1.86";"1.86";"07/09/2012 12:42";"CET";"4601";"8557.89"
"LOGIN P BSAR JUN16";"FR0011086685";"LPBSR";"Marché Libre Paris";"EUR";"2.20";"2.20";"2.20";"2.20";"31/01/2012 15:30";"CET";"1";"2.20"
"LOGIN P BSAR JUN17";"FR0011138783";"LBBS2";"Marché Libre Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"LOGIN PEOPLE";"FR0010581363";"MLLP";"Marché Libre Paris";"EUR";"4.07";"4.07";"4.07";"4.07";"07/09/2012 15:00";"CET";"90";"366.30"
"LOGIN PEOPLE BS";"FR0010662098";"LPBS";"Marché Libre Paris";"EUR";"0.90";"0.90";"0.90";"0.90";"10/08/2012 15:30";"CET";"1600";"1440.00"
"LOGITECH INTL";"CH0025751329";"LOGNz";"NYSE Arca Europe";"CHF";"9.005";"9.11";"9.005";"9.085";"07/09/2012 16:45";"CET";"3470";"85728.845"
"LOMBARD ET MEDOT";"FR0006205019";"MLCAC";"Marché Libre Paris";"EUR";"18.50";"18.50";"18.50";"18.50";"31/08/2012 15:00";"CET";"52";"962.00"
"LONDON & STAMFORD";"GB00B4WFW713";"LSPl";"NYSE Arca Europe";"GBP";"112.90";"112.90";"112.90";"112.90";"27/07/2012 09:21";"CET";"1217";"137399.30"
"LONDON STOCK EXCH.";"GB00B0SWJX34";"LSEl";"NYSE Arca Europe";"GBP";"966.00";"966.00";"966.00";"966.00";"28/08/2012 14:56";"CET";"100";"96600.00"
"LONMIN";"GB0031192486";"LMIl";"NYSE Arca Europe";"GBP";"615.00";"615.00";"615.00";"615.00";"20/08/2012 12:27";"CET";"200";"123000.00"
"LONZA GROUP N";"CH0013841017";"LONNz";"NYSE Arca Europe";"CHF";"43.42";"43.42";"43.26";"43.26";"05/09/2012 17:16";"CET";"244";"45142.08"
"LOOK VOYAG.REDUCT.";"FR0000076721";"MLLOO";"Marché Libre Paris";"EUR";"4.40";"4.40";"4.40";"4.40";"28/08/2012 15:00";"CET";"58";"255.20"
"LOTTOMATICA";"IT0003990402";"LTOm";"NYSE Arca Europe";"EUR";"16.68";"16.68";"16.68";"16.68";"05/09/2012 09:04";"CET";"74";"1234.32"
"LOTUS BAKERIES";"BE0003604155";"LOTB";"NYSE Euronext Brussels";"EUR";"508.00";"508.00";"500.00";"508.00";"07/09/2012 17:35";"CET";"80";"40556.99"
"LOUVAIN NEUVE 1976";"BE0105067160";"LOUV";"NYSE Euronext Brussels";"EUR";"480.00";"480.00";"480.00";"480.00";"07/09/2012 15:00";"CET";"20";"9600.00"
"LOWE-S CO";"US5486611073";"LOWn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"LUNDIN PETROLEUM";"SE0000825820";"LUPEs";"NYSE Arca Europe";"SEK";"150.80";"150.80";"150.80";"150.80";"04/09/2012 12:45";"CET";"75";"11310.00"
"LUX-AIRPORT CERT";"LU0092846210";"LUXA";"NYSE Euronext Brussels";"EUR";"83.00";"83.00";"83.00";"83.00";"06/09/2012 15:00";"CET";"25";"2075.00"
"LUXOTTICA GROUP";"IT0001479374";"LUXm";"NYSE Arca Europe";"EUR";"27.03";"28.00";"27.03";"27.85";"06/09/2012 17:14";"CET";"658";"133253.74"
"LV4S";"BE6201089735";"MLV4S";"Marché Libre Paris";"EUR";"11.50";"11.50";"11.50";"11.50";"07/09/2012 15:00";"CET";"1";"11.50"
"LVL MEDICAL GROUPE";"FR0000054686";"LVL";"NYSE Euronext Paris";"EUR";"30.81";"30.82";"30.81";"30.82";"07/09/2012 17:35";"CET";"1212";"37346.70"
"LVLBSAAR2015";"FR0010617027";"LVLBS";"NYSE Euronext Paris";"EUR";"13.20";"13.20";"13.20";"13.20";"04/09/2012 17:27";"CET";"5275";"69630.00"
"LVMH";"FR0000121014";"MC";"NYSE Euronext Paris";"EUR";"132.60";"134.00";"132.30";"132.85";"07/09/2012 17:35";"CET";"927006";"123432883.75"
"LYON POCHE PRESSE";"FR0000182503";"MLLYP";"Marché Libre Paris";"EUR";"0.45";"0.45";"0.45";"0.45";"29/08/2012 15:00";"CET";"79";"35.55"
"M.R.M";"FR0000060196";"MRM";"NYSE Euronext Paris";"EUR";"4.40";"4.40";"4.40";"4.40";"07/09/2012 11:30";"CET";"1";"4.40"
"M2I";"FR0010778050";"MLMII";"Marché Libre Paris";"EUR";"37.10";"37.10";"37.10";"37.10";"01/10/2009 15:00";"CET";"300";"-"
"M2I NV";"FR0011287762";"MIINV";"Marché Libre Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"MACHELEN CERT";"BE0003655660";"MAC";"NYSE Euronext Brussels";"EUR";"312.00";"312.00";"312.00";"312.00";"21/08/2012 15:00";"CET";"20";"6240.00"
"MACHELEN,KUUR.CERT";"BE0003596070";"MACK";"NYSE Euronext Brussels";"EUR";"295.00";"295.00";"295.00";"295.00";"07/09/2012 15:00";"CET";"5";"1475.00"
"MACINTOSH RETAIL";"NL0000367993";"MACIN";"NYSE Euronext Amsterdam";"EUR";"8.899";"8.998";"8.899";"8.949";"07/09/2012 17:35";"CET";"45825";"407868.497"
"MADE";"FR0010328302";"MLMAD";"Marché Libre Paris";"EUR";"2.55";"2.55";"2.55";"2.55";"03/09/2012 15:00";"CET";"280";"714.00"
"MAGILLEM";"FR0010827741";"MLMGL";"Marché Libre Paris";"EUR";"17.39";"17.39";"17.39";"17.39";"07/09/2012 15:00";"CET";"1";"17.39"
"MAGYAR TELEKOM";"HU0000073507";"MTELEt";"NYSE Arca Europe";"HUF";"-";"-";"-";"-";"-";"-";"-";"-"
"MAIRE TECNIMONT";"IT0004251689";"MTm";"NYSE Arca Europe";"EUR";"0.713";"0.713";"0.713";"0.713";"12/04/2012 09:01";"CET";"1640";"1169.32"
"MAIS.ANTOINE BAUD";"FR0000061657";"MLMAB";"Marché Libre Paris";"EUR";"75.00";"75.00";"75.00";"75.00";"13/07/2012 15:00";"CET";"12";"900.00"
"MAISONS D'AUJOURD'";"FR0010515742";"MLMAI";"Marché Libre Paris";"EUR";"3.46";"3.46";"3.46";"3.46";"06/09/2012 15:00";"CET";"100";"346.00"
"MAISONS FRANCE";"FR0004159473";"MFC";"NYSE Euronext Paris";"EUR";"24.58";"24.90";"24.58";"24.79";"07/09/2012 17:35";"CET";"2582";"63875.71"
"MAKHEIA GROUP";"FR0000072993";"ALSEQ";"NYSE Alternext Paris";"EUR";"1.96";"2.07";"1.96";"2.07";"07/09/2012 17:07";"CET";"301";"622.96"
"MALTERIES FCO-BEL.";"FR0000030074";"MALT";"NYSE Euronext Paris";"EUR";"151.00";"151.00";"151.00";"151.00";"06/09/2012 11:30";"CET";"12";"1812.00"
"MAN";"DE0005937007";"MANd";"NYSE Arca Europe";"EUR";"72.84";"72.84";"72.84";"72.84";"30/08/2012 15:11";"CET";"46";"3350.64"
"MAN GROUP";"GB00B28KQ186";"EMGl";"NYSE Arca Europe";"GBP";"80.00";"80.00";"80.00";"80.00";"07/09/2012 12:41";"CET";"4029";"322320.00"
"MANAGEMENT & CAPIT";"IT0003955009";"MECm";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"MANDRIVA";"FR0004159382";"MLMAN";"Marché Libre Paris";"EUR";"0.14";"0.14";"0.14";"0.14";"29/07/2010 15:00";"CET";"3000";"-"
"MANITOU BF";"FR0000038606";"MTU";"NYSE Euronext Paris";"EUR";"13.27";"13.70";"13.23";"13.70";"07/09/2012 17:35";"CET";"19126";"259511.29"
"MANUTAN INTL";"FR0000032302";"MAN";"NYSE Euronext Paris";"EUR";"28.55";"28.96";"28.55";"28.96";"07/09/2012 16:29";"CET";"496";"14226.15"
"MAPFRE";"ES0124244E34";"MAPe";"NYSE Arca Europe";"EUR";"1.70";"1.70";"1.70";"1.70";"07/08/2012 10:12";"CET";"857";"1456.90"
"MARATHON OIL CORP";"US5658491064";"MROIL";"Traded not listed Amsterdam";"USD";"59.00";"59.00";"59.00";"59.00";"03/11/2005 06:00";"CET";"40";"-"
"MARCEL THIRY CERT";"BE0003664753";"MARC";"NYSE Euronext Brussels";"EUR";"5.26";"5.26";"5.26";"5.26";"06/09/2012 15:00";"CET";"38";"199.88"
"MARCOLIN";"IT0001129847";"MCLm";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"MARINE HARVEST";"NO0003054108";"MHGo";"NYSE Arca Europe";"NOK";"4.606";"4.606";"4.606";"4.606";"03/09/2012 12:46";"CET";"2100";"9672.60"
"MARKS & SPENC GRP";"GB0031274896";"MKSl";"NYSE Arca Europe";"GBP";"354.90";"355.90";"354.90";"355.40";"05/09/2012 16:58";"CET";"4267";"7869867.30"
"MAROC TELECOM";"MA0000011488";"IAM";"NYSE Euronext Paris";"EUR";"9.44";"9.72";"9.42";"9.52";"07/09/2012 17:35";"CET";"1910";"18064.57"
"MARR";"IT0003428445";"MARRm";"NYSE Arca Europe";"EUR";"7.91";"7.91";"7.91";"7.91";"09/05/2012 09:06";"CET";"99";"783.09"
"MARSTON-S";"GB00B1JQDM80";"MARSl";"NYSE Arca Europe";"GBP";"110.90";"110.90";"110.90";"110.90";"20/08/2012 16:00";"CET";"2012";"223130.80"
"MARTIFER";"PTMFR0AM0003";"MAR";"NYSE Euronext Lisbon";"EUR";"0.54";"0.56";"0.54";"0.54";"07/09/2012 21:23";"BST";"14880";"8129.75"
"MARTIN MAUREL(FIN)";"FR0006321998";"MLFMM";"Marché Libre Paris";"EUR";"1000.00";"1000.00";"1000.00";"1000.00";"22/02/2012 15:00";"CET";"41";"41000.00"
"MASTERCARD";"US57636Q1040";"MAn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"MASTRAD";"FR0004155687";"ALMAS";"NYSE Alternext Paris";"EUR";"3.31";"3.32";"3.31";"3.31";"07/09/2012 15:06";"CET";"1375";"4559.34"
"MAUNA KEA TECH";"FR0010609263";"MKEA";"NYSE Euronext Paris";"EUR";"9.23";"9.25";"9.11";"9.17";"07/09/2012 17:35";"CET";"12919";"118760.39"
"MAUREL ET PROM";"FR0000051070";"MAU";"NYSE Euronext Paris";"EUR";"11.65";"11.795";"11.49";"11.50";"07/09/2012 17:37";"CET";"572665";"6639715.315"
"MAURELETPROMBS";"FR0010897082";"MAUBS";"NYSE Euronext Paris";"EUR";"0.248";"0.249";"0.241";"0.241";"07/09/2012 17:24";"CET";"45079";"11005.394"
"MAXIMILES";"FR0004174233";"ALMAX";"NYSE Alternext Paris";"EUR";"3.50";"3.50";"3.48";"3.50";"07/09/2012 15:14";"CET";"1577";"5511.98"
"MAYINLAY JEWELLERY";"HK0000052578";"MLMAY";"Marché Libre Paris";"EUR";"0.27";"0.27";"0.27";"0.27";"06/10/2011 15:00";"CET";"410";"-"
"MAYR-MELNHOF KARTO";"AT0000938204";"MMKv";"NYSE Arca Europe";"EUR";"73.47";"73.47";"73.47";"73.47";"31/05/2012 15:58";"CET";"28";"2057.16"
"MC DONALD-S CORP";"US5801351017";"MCDn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"MCBRIDE";"GB0005746358";"MCBl";"NYSE Arca Europe";"GBP";"130.50";"130.50";"130.50";"130.50";"09/11/2011 09:03";"CET";"737";"-"
"MCLS (D)";"BE0003863801";"MCLS";"Marché Libre Brussels";"EUR";"0.62";"0.62";"0.62";"0.62";"20/07/2012 15:00";"CET";"1000";"620.00"
"MDXHEALTH";"BE0003844611";"MDXH";"NYSE Euronext Brussels,Amsterdam";"EUR";"1.65";"1.67";"1.65";"1.67";"07/09/2012 17:35";"CET";"8380";"13868.40"
"MECELEC";"FR0000061244";"MCLC";"NYSE Euronext Paris";"EUR";"2.85";"2.85";"2.65";"2.65";"07/09/2012 14:58";"CET";"1001";"2759.54"
"MECELEC BSA 1113";"FR0010957621";"MCLBS";"NYSE Euronext Paris";"EUR";"0.35";"0.35";"0.35";"0.35";"06/09/2012 12:00";"CET";"500";"175.00"
"MEDA A";"SE0000221723";"MEDAAs";"NYSE Arca Europe";"SEK";"64.55";"64.55";"64.55";"64.55";"03/09/2012 16:08";"CET";"798";"51510.90"
"MEDASYS";"FR0000052623";"MED";"NYSE Euronext Paris";"EUR";"0.47";"0.47";"0.43";"0.45";"07/09/2012 13:21";"CET";"20501";"9128.12"
"MEDASYS BS1";"FR0011162536";"MEDB1";"NYSE Euronext Paris";"EUR";"0.011";"0.011";"0.011";"0.011";"29/08/2012 15:00";"CET";"89532";"984.85"
"MEDASYS BS2";"FR0011162551";"MEDB2";"NYSE Euronext Paris";"EUR";"0.01";"0.01";"0.01";"0.01";"07/09/2012 14:52";"CET";"3037";"30.37"
"MEDASYS BS3";"FR0011162577";"MEDB3";"NYSE Euronext Paris";"EUR";"0.019";"0.027";"0.016";"0.017";"07/09/2012 14:44";"CET";"86454";"2213.692"
"MEDEA";"FR0000063323";"MEDE";"NYSE Euronext Paris";"EUR";"0.80";"0.80";"0.80";"0.80";"07/05/2012 11:30";"CET";"125";"100.00"
"MEDIA 6";"FR0000064404";"EDI";"NYSE Euronext Paris";"EUR";"4.79";"4.79";"4.79";"4.79";"07/09/2012 09:00";"CET";"94";"450.26"
"MEDIA CAPITAL";"PTGMC0AM0003";"MCP";"NYSE Euronext Lisbon";"EUR";"1.50";"1.50";"1.50";"1.50";"31/08/2012 16:30";"BST";"2";"3.00"
"MEDIANTECHNOLOGIES";"FR0011049824";"ALMDT";"NYSE Alternext Paris";"EUR";"8.98";"8.98";"8.98";"8.98";"07/09/2012 09:00";"CET";"1";"8.98"
"MEDIASET";"IT0001063210";"MSm";"NYSE Arca Europe";"EUR";"1.585";"1.585";"1.579";"1.579";"30/08/2012 10:33";"CET";"2504";"6381.168"
"MEDICA";"FR0010372581";"MDCA";"NYSE Euronext Paris";"EUR";"13.48";"13.65";"13.48";"13.60";"07/09/2012 17:35";"CET";"33988";"461287.465"
"MEDICREA INTERNAT.";"FR0004178572";"ALMED";"NYSE Alternext Paris";"EUR";"9.75";"9.75";"9.53";"9.53";"07/09/2012 16:55";"CET";"4092";"39286.52"
